,countries,lifeexps
0,Hong Kong,84.7
1,Japan,84.5
2,Singapore,83.7
3,Switzerland,83.6
4,Italy,83.4
5,Spain,83.4
6,Australia,83.3
7,Iceland,82.9
8,Israel,82.8
9,South Korea,82.8
10,Sweden,82.7
11,France,82.5
12,Malta,82.4
13,Canada,82.3
14,Norway,82.3
15,Luxembourg,82.1
16,Ireland,82.1
17,New Zealand,82.1
18,Netherlands,82.1
19,Greece,82.1
20,Portugal,81.9
21,Andorra,81.8
22,Finland,81.7
23,Belgium,81.5
24,Austria,81.4
25,Germany,81.2
26,United Kingdom,81.2
27,Slovenia,81.2
28,Cyprus,80.8
29,Denmark,80.8
30,Liechtenstein,80.5
31,Costa Rica,80.1
32,Chile,80.0
33,Czech Republic,79.2
34,Barbados,79.1
35,Lebanon,78.9
36,United States,78.9
37,Cuba,78.6
38,Poland,78.5
39,Panama,78.3
40,Croatia,78.3
41,United Arab Emirates,77.8
42,Uruguay,77.8
43,Oman,77.6
44,Slovakia,77.4
45,Turkey,77.4
46,Bosnia and Herzegovina,77.3
47,Bahrain,77.2
48,Colombia,77.1
49,Antigua and Barbuda,76.9
50,Thailand,76.9
51,Ecuador,76.8
52,Montenegro,76.8
53,Sri Lanka,76.8
54,Algeria,76.7
55,People's Republic of China,76.7
56,Hungary,76.7
57,Argentina,76.5
58,Iran,76.5
59,Morocco,76.5
60,Peru,76.5
61,Tunisia,76.5
62,Saint Lucia,76.1
63,Malaysia,76.0
64,Romania,75.9
65,Serbia,75.8
66,Brazil,75.7
67,Brunei,75.7
68,Lithuania,75.7
69,North Macedonia,75.7
70,Kuwait,75.4
71,Vietnam,75.3
72,Latvia,75.2
73,Honduras,75.1
74,Mexico,75.0
75,Saudi Arabia,75.0
76,Armenia,74.9
77,Bulgaria,74.9
78,Mauritius,74.9
79,Belarus,74.6
80,Saint Kitts and Nevis,74.6
81,Belize,74.5
82,Jamaica,74.4
83,Jordan,74.4
84,Nicaragua,74.3
85,Guatemala,74.1
86,Paraguay,74.1
87,Dominican Republic,73.9
88,Marshall Islands,73.9
89,Palestine,73.9
90,Bahamas,73.8
91,Palau,73.7
92,Georgia,73.6
93,Trinidad and Tobago,73.4
94,Seychelles,73.3
95,Kazakhstan,73.2
96,Samoa,73.2
97,El Salvador,73.1
98,Azerbaijan,72.9
99,Cabo Verde,72.8
100,Solomon Islands,72.8
101,Libya,72.7
102,Grenada,72.4
103,Russia,72.4
104,Saint Vincent and the Grenadines,72.4
105,Bangladesh,72.3
106,Venezuela,72.1
107,Ukraine,72.0
108,Egypt,71.8
109,Moldova,71.8
110,Syria,71.8
111,Suriname,71.6
112,Uzbekistan,71.6
113,Bhutan,71.5
114,Indonesia,71.5
115,Kyrgyzstan,71.3
116,Bolivia,71.2
117,Philippines,71.1
118,Tajikistan,70.9
119,Tonga,70.8
120,Iraq,70.5
121,Nepal,70.5
122,Vanuatu,70.3
123,Sao Tome and Principe,70.2
124,Guyana,69.8
125,Mongolia,69.7
126,Cambodia,69.6
127,India,69.4
128,Botswana,69.3
129,Timor Leste,69.3
130,Rwanda,68.7
131,Kiribati,68.1
132,Turkmenistan,68.1
133,Federated States of Micronesia,67.8
134,Senegal,67.7
135,Laos,67.6
136,Fiji,67.3
137,Pakistan,67.1
138,Myanmar,66.9
139,Madagascar,66.7
140,Djibouti,66.6
141,Ethiopia,66.2
142,Gabon,66.2
143,Yemen,66.1
144,Eritrea,65.9
145,Sudan,65.1
146,Tanzania,65.0
147,Mauritania,64.7
148,Afghanistan,64.5
149,"Congo, Republic of",64.3
150,Papua New Guinea,64.3
151,Comoros,64.1
152,South Africa,63.9
153,Ghana,63.8
154,Malawi,63.8
155,Haiti,63.7
156,Liberia,63.7
157,Zambia,63.5
158,Namibia,63.4
159,Kenya,63.3
160,Uganda,63.0
161,Niger,62.0
162,Gambia,61.7
163,Benin,61.5
164,Burkina Faso,61.2
165,Burundi,61.2
166,Guinea,61.2
167,Zimbabwe,61.2
168,Angola,60.8
169,Togo,60.8
170,"Congo, Democratic Republic of the",60.4
171,Mozambique,60.2
172,Eswatini,59.4
173,Mali,58.9
174,Cameroon,58.9
175,Equatorial Guinea,58.4
176,Guinea-Bissau,58.0
177,South Sudan,57.6
178,C̫te d'Ivoire,57.4
179,Nigeria,54.3
180,Sierra Leone,54.3
181,Chad,54.0
182,Lesotho,53.7
183,Central African Republic,52.8
